,Component 0,Age,ID
0,2.6925107461477595,24.0,CC110033
1,0.09035934627534593,18.0,CC110037
2,2.2973865276246226,24.0,CC110045
3,-1.2331464979022568,22.0,CC110056
4,1.2614081065126388,20.0,CC110062
5,3.3262505523283337,28.0,CC110069
6,2.7470948762197884,28.0,CC110087
7,-0.7431382298309558,23.0,CC110098
8,2.0502090438978544,23.0,CC110101
9,2.2956983668849493,22.0,CC110126
10,2.6081654472628757,25.0,CC110174
11,1.484586262361817,18.0,CC110182
12,2.661750853997599,25.0,CC110187
13,3.049764652111666,28.0,CC110319
14,3.415759148717999,25.0,CC110411
15,-0.6842145279227952,20.0,CC110606
16,2.4736482983049695,29.0,CC112141
17,2.511265580337341,26.0,CC120008
18,1.3914215092536804,28.0,CC120049
19,2.5490877328873953,,CC120061
20,-0.13701607149990525,25.0,CC120065
21,1.2883396503154887,25.0,CC120120
22,-4.200884145553687,19.0,CC120123
23,3.03833204536754,18.0,CC120137
24,0.812578353292586,28.0,CC120166
25,2.677398466250036,26.0,CC120182
26,1.4709443221588125,25.0,CC120184
27,-0.6259102267582178,24.0,CC120208
28,3.307214579659677,20.0,CC120212
29,2.569137461773978,27.0,CC120218
30,0.25608530782885475,24.0,CC120234
31,2.799714060598096,28.0,CC120264
32,-1.2342771842107816,23.0,CC120276
33,0.9868968025610582,22.0,CC120286
34,0.7414809868869405,27.0,CC120309
35,1.426826223540106,28.0,CC120313
36,1.8889176811441943,27.0,CC120319
37,2.4573630890482177,21.0,CC120347
38,1.3663482891384506,18.0,CC120376
39,0.6645113773368975,18.0,CC120409
40,3.0893468822120234,18.0,CC120462
41,2.6880351092024037,25.0,CC120469
42,2.181053853547571,28.0,CC120470
43,1.0992306742216384,19.0,CC120550
44,2.597472933217273,26.0,CC120640
45,1.7212911828919444,23.0,CC120727
46,1.1068455222285394,27.0,CC120764
47,0.37317145396784424,24.0,CC120795
48,-0.012525014214279527,23.0,CC120816
49,0.5577155181955477,20.0,CC120987
50,-0.5847622505573292,28.0,CC121106
51,1.304122239823776,18.0,CC121111
52,2.561554985198783,26.0,CC121144
53,-4.633135374591509,28.0,CC121158
54,2.3742592919797403,24.0,CC121194
55,1.5408825620350854,26.0,CC121200
56,0.3227576241764214,25.0,CC121317
57,2.9491756330661985,27.0,CC121397
58,1.0249302850472068,26.0,CC121411
59,1.6808118144482205,26.0,CC121428
60,-1.132484457506386,26.0,CC121479
61,1.5847734790995847,20.0,CC121685
62,1.8724249610447352,25.0,CC121795
63,3.1094439648953216,23.0,CC122016
64,1.7084779988011143,27.0,CC122172
65,2.140160579731472,27.0,CC122405
66,1.6184376068601383,24.0,CC122620
67,0.6928203108782321,31.0,CC210023
68,3.133037889867967,35.0,CC210051
69,-0.1330853723679463,36.0,CC210088
70,0.9947564354029721,35.0,CC210124
71,3.2027594838101505,30.0,CC210148
72,2.5617105693258777,31.0,CC210172
73,1.6045002051934318,30.0,CC210174
74,1.387534927574995,31.0,CC210182
75,0.12583048393900087,29.0,CC210250
76,-0.8961201366881363,32.0,CC210304
77,3.0669265894802447,34.0,CC210314
78,2.338552575125589,34.0,CC210422
79,-1.1001598480641543,29.0,CC210519
80,1.3409084548950685,37.0,CC210526
81,2.705574432879701,34.0,CC210617
82,2.0694868251842693,37.0,CC210657
83,0.1331814761971351,29.0,CC212153
84,1.0651945270500285,32.0,CC220098
85,0.37614887457133234,34.0,CC220107
86,0.023846636420512244,29.0,CC220115
87,3.5166990904658215,31.0,CC220132
88,1.8722924768441027,30.0,CC220151
89,-4.0129962002939426,37.0,CC220198
90,-0.0647542167971715,34.0,CC220203
91,2.0968633807067913,33.0,CC220223
92,0.8678969648683692,36.0,CC220232
93,2.6017702737410118,35.0,CC220234
94,2.1618837017810173,34.0,CC220284
